#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
73,"Kya Mujhe Pyar Hai","Pritam,KK,Neelesh Misra",118,11A,82,2025-02-03,04:26,74,"bollywood, hindi pop, desi","Woh Lamhe",2006-08-17,64,43,0,79,0,0,-6,F#/G♭ Minor,4,3HFjh7QljnUCBLsoTwMuTj,INS180602902
74,"Tu Hi Haqeeqat","Pritam,Javed Ali,Irshan Ashraf,Shadab,Sayeed Quadri",116,9A,74,2025-02-03,05:02,76,"bollywood, hindi pop, desi, sufi, qawwali, desi pop","Tum Mile (Original Motion Picture Soundtrack)",2009-09-08,71,58,0,71,0,20,-5,E Minor,4,3OLFqbd9ZeVjaUKTiaLsD6,INS170900406
75,"Tujhe Kitna Chahne Lage (From  Kabir Singh )","Arijit Singh,Mithoon",70,1B,40,2025-02-03,04:44,79,"hindi pop, bollywood, desi, bangla pop","Tujhe Kitna Chahne Lage (From  Kabir Singh )",2019-05-31,43,74,0,31,0,10,-8,B Major,4,2Fv2injs4qAm8mJBGaxVKU,INS181902088
76,"Banjaara (From  Ek Villain )","Mohammed Irfan",116,12A,49,2025-02-03,05:36,61,"hindi pop, bollywood","Best Of Shraddha Kapoor",2017-03-03,66,71,0,40,0,10,-7,C♯/D♭ Minor,4,2S6N9pbnkhQRyAx80HmF79,INS181401028
77,"Jeene Laga Hoon","Sachin-Jigar,Atif Aslam,Shreya Ghoshal",90,6A,73,2025-02-03,03:56,78,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, sufi, qawwali, kannada pop, marathi pop","Ramaiya Vastavaiya (Original Motion Picture Soundtrack)",2013-07-19,53,17,0,55,0,10,-8,G Minor,4,3t3wsY5IdLVzB9WidegJSU,INT101301475
78,"Duniyaa (From  Luka Chuppi )","Akhil,Dhvani Bhanushali,Kunaal Vermaa,Abhijit Vaghani",77,6A,66,2025-02-03,03:42,73,"punjabi pop, hindi pop, bollywood, desi pop, desi, sufi","Duniyaa (From  Luka Chuppi )",2019-02-22,44,70,0,52,0,10,-6,G Minor,4,2tjWCe2W7sgvS3C8NHcdtI,INS181900390
79,"Phir Aur Kya Chahiye (From  Zara Hatke Zara Bachke )","Sachin-Jigar,Arijit Singh,Amitabh Bhattacharya",100,12B,55,2025-02-03,04:26,61,"gujarati pop, bollywood, hindi pop, desi, gujarati garba, bangla pop","Zara Hatke Zara Bachke",2023-08-25,56,53,0,53,0,10,-6,E Major,4,5Tkf5CbtVYHA1SiKo1NrJE,INH102307527
80,"O Saathi","Atif Aslam,Arko",90,4B,50,2025-02-03,04:11,75,"bollywood, hindi pop, desi, sufi, qawwali, bangla pop","O Saathi (From  Baaghi 2 )",2018-03-09,48,59,0,45,0,10,-7,G#/A♭ Major,4,6fScgF2Y63ScU73nYju0ny,INS181800584
81,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X,Jack Harlow",150,2A,70,2025-02-04,03:32,76,"","INDUSTRY BABY (feat. Jack Harlow)",2021-07-23,74,2,0,89,0,0,-7,D#/E♭ Minor,4,27NovPIUIRrOZoCHxABJwK,USSM12104539
82,"Choo Lo","The Local Train",146,12B,70,2025-02-09,03:53,71,"indian indie, hindi indie","Aalas Ka Pedh",2015-09-25,51,3,1,35,0,10,-6,E Major,4,0rlLBWFFTQiOWi963SH9bb,INO131301172
83,"Soch Na Sake","Amaal Mallik,Arijit Singh,Tulsi Kumar",152,11B,67,2025-02-13,04:41,77,"bollywood, hindi pop, desi, bangla pop","Airlift",2015-12-17,51,60,0,52,0,20,-6,A Major,4,6mTvwBzWTGDOVeCNQEqtOE,INS181502125
84,"Har Kisi Ko","Arijit Singh,Neeti Mohan",95,5B,71,2025-02-13,05:37,32,"hindi pop, bollywood, desi, bangla pop","Akshay Kumar - Feeling Blue",2016-09-01,56,48,0,32,0,20,-7,D#/E♭ Major,4,76KlitF04EX4WJoitJk60B,INS181305660
85,"Tere Pyaar Mein","Pritam,Arijit Singh,Amitabh Bhattacharya,Nikhita Gandhi",119,8A,75,2025-02-14,04:26,71,"bollywood, hindi pop, desi, bangla pop","Tere Pyaar Mein (From  Tu Jhoothi Main Makkaar )",2023-02-01,68,12,0,41,0,10,-5,A Minor,4,2ZD4aIEepqZsdxPxLSuUhm,INS182300213
86,"Thoda Thoda Pyaar","Nilesh Ahuja,Kumaar,Stebin Ben",103,4A,53,2025-02-14,04:04,61,"hindi pop, bollywood, desi, desi pop","Thoda Thoda Pyaar",2021-02-12,71,14,0,14,0,10,-9,F Minor,4,7q0XU83dlXOzoAor3sulOM,INZ031408749
87,"Agar Tum Saath Ho","Alka Yagnik,Arijit Singh",123,5B,52,2025-02-15,05:41,75,"bollywood, hindi pop, desi, bangla pop","Tamasha",2015-10-16,56,56,0,42,0,10,-9,D#/E♭ Major,4,3hkC9EHFZNQPXrtl8WPHnX,INS181501796
88,"Simroon Tera Naam (From  Yaariyan 2 )","Manan Bhardwaj,Sachet Tandon,Nusrat Fateh Ali Khan",154,1A,66,2025-02-15,04:18,56,"bhajan, hindi pop, desi pop, devotional, bollywood, qawwali, ghazal, sufi","Simroon Tera Naam (From  Yaariyan 2 )",2023-09-06,27,39,0,36,0,10,-5,G#/A♭ Minor,3,30Aof6iEIZDwYukcB98AOc,INS182302513
89,"Khamoshiyan","Jeet Gannguli,Arijit Singh,Rashmi Virag",144,7A,52,2025-02-15,05:35,72,"bangla pop, hindi pop, bollywood, desi","Khamoshiyan (Original Motion Picture Soundtrack)",2014-12-29,53,63,0,27,0,10,-7,D Minor,3,6zCQF5tu7HVwU9shhKqiuF,INS171402465
90,"Fearless Pt. II","Lost Sky,Chris Linton",110,2B,93,2025-03-05,03:14,31,"","Fearless Pt. II",2017-12-23,73,28,0,33,0,10,-4,F#/G♭ Major,4,4y1nvncvBhdoelqPMyXxis,GB2LD1700381
91,"Tum Hi Ho","Arijit Singh,Mithoon",94,4A,45,2025-03-07,04:21,78,"hindi pop, bollywood, desi, bangla pop","Aashiqui 2",2013-04-06,53,79,0,31,0,10,-6,F Minor,4,56zZ48jdyY2oDXHVnwg5Di,INS181303031
92,"Aasan Nahin Yahan","Arijit Singh,Jeet Gannguli,Irshad Kamil",94,3A,44,2025-03-07,03:34,72,"hindi pop, bollywood, desi, bangla pop","Aashiqui 2",2013-04-06,55,77,0,24,0,10,-7,A#/B♭ Minor,4,06zJUeKU5KFy50Cho6pDcr,INS181303038
93,"Milne Hai Mujhse Aayi","Arijit Singh,Jeet Gannguli,Irshad Kamil",144,10A,71,2025-03-07,04:55,71,"hindi pop, bollywood, desi, bangla pop","Aashiqui 2",2013-04-06,52,4,0,31,0,10,-5,B Minor,4,2iGnFW7m517taq3AJIE6DK,INS181303040
